time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-02-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","25","Total traffic","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2019-02-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","14","NO2 (rescaled)","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2019-03-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","26","Total traffic","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2019-03-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","14","NO2 (rescaled)","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2019-04-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","26","Total traffic","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2019-04-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","15","NO2 (rescaled)","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2019-05-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","29","Total traffic","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2019-05-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","25","NO2 (rescaled)","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2020-02-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","19","Total traffic","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2020-02-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","14","NO2 (rescaled)","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2020-03-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","19","Total traffic","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2020-03-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","16","NO2 (rescaled)","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2020-04-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","22","Total traffic","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2020-04-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","14","NO2 (rescaled)","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2020-05-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","23","Total traffic","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
"2020-05-01T00:00:00.000Z","LatLng(38.453396, 15.9024)","17","NO2 (rescaled)","Invalid DateTime","e-GEOS","Sentinel5P","","Sentinel5P - AIS"
